Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
33;92.0;59.0;122308;LK Rhein-Lahn-Kreis;Rheinland-Pfalz
17;23.0;6.0;171061;SK Ludwigshafen;Rheinland-Pfalz
10;23.0;13.0;53148;SK Neustadt a.d.Weinstraße;Rheinland-Pfalz
14;69.0;55.0;106057;LK Kaiserslautern;Rheinland-Pfalz
8;23.0;15.0;63324;SK Rosenheim;Bayern
47;46.0;-1.0;127227;LK Bad Tölz-Wolfratshausen;Bayern
30;23.0;-7.0;47794;SK Straubing;Bayern
52;23.0;-29.0;119326;LK Deggendorf;Bayern
30;23.0;-7.0;95311;LK Hof;Bayern
12;23.0;11.0;94393;LK Weißenburg-Gunzenhausen;Bayern
14;23.0;9.0;84599;LK Haßberge;Bayern
4;46.0;42.0;115106;LK Schweinfurt;Bayern
47;366.0;319.0;251534;LK Augsburg;Bayern
22;69.0;47.0;144041;LK Unterallgäu;Bayern
20;69.0;49.0;100219;SK Cottbus;Brandenburg
23;23.0;0.0;208886;SK Rostock;Mecklenburg-Vorpommern
33;23.0;-10.0;95818;SK Schwerin;Mecklenburg-Vorpommern
9;23.0;14.0;159854;LK Anhalt-Bitterfeld;Sachsen-Anhalt
29;46.0;17.0;171734;LK Börde;Sachsen-Anhalt
5;23.0;18.0;136249;LK Mansfeld-Südharz;Sachsen-Anhalt
4;23.0;19.0;94152;SK Gera;Thüringen
17;18.0;1.0;165507;LK Nordfriesland;Schleswig-Holstein
17;36.0;19.0;243196;LK Stormarn;Schleswig-Holstein
51;71.0;20.0;328074;LK Göttingen;Niedersachsen
25;18.0;-7.0;157781;LK Schaumburg;Niedersachsen
11;36.0;25.0;210829;SK Oberhausen;Nordrhein-Westfalen
16;36.0;20.0;179111;SK Hamm;Nordrhein-Westfalen
62;53.0;-9.0;297399;LK Darmstadt-Dieburg;Hessen
25;106.0;81.0;120829;LK Hersfeld-Rotenburg;Hessen
58;53.0;-5.0;180222;LK Schwalm-Eder-Kreis;Hessen
